,year,yearcount,weekofyear,station_max_temp_c,station_min_temp_c,cum_rain_prior_24_wks,avg_max_temp_prior_22_wks,year_shift_0,yearcount_shift_0,weekofyear_shift_0,station_max_temp_c_shift_0,station_min_temp_c_shift_0,cum_rain_prior_24_wks_shift_0,avg_max_temp_prior_22_wks_shift_0,year_shift_1,yearcount_shift_1,weekofyear_shift_1,station_max_temp_c_shift_1,station_min_temp_c_shift_1,cum_rain_prior_24_wks_shift_1,avg_max_temp_prior_22_wks_shift_1,year_shift_2,yearcount_shift_2,weekofyear_shift_2,station_max_temp_c_shift_2,station_min_temp_c_shift_2,cum_rain_prior_24_wks_shift_2,avg_max_temp_prior_22_wks_shift_2,year_shift_3,yearcount_shift_3,weekofyear_shift_3,station_max_temp_c_shift_3,station_min_temp_c_shift_3,cum_rain_prior_24_wks_shift_3,avg_max_temp_prior_22_wks_shift_3,year_shift_4,yearcount_shift_4,weekofyear_shift_4,station_max_temp_c_shift_4,station_min_temp_c_shift_4,cum_rain_prior_24_wks_shift_4,avg_max_temp_prior_22_wks_shift_4
0,1990,0,48,31.1,20.6,1345.5,32.827272727272714,1990,0,48,31.1,20.6,1345.5,32.827272727272714,1990.0,0.0,47.0,31.7,22.2,1315.37,32.95454545454543,1990.0,0.0,46.0,32.8,22.2,1304.91,33.05454545454543,1990.0,0.0,45.0,33.3,23.9,1292.43,33.02727272727271,1990.0,0.0,44.0,33.3,22.8,1287.33,33.077272727272714
1,1990,0,49,29.4,22.2,1204.34,32.62272727272725,1990,0,49,29.4,22.2,1204.34,32.62272727272725,1990.0,0.0,48.0,31.1,20.6,1345.5,32.827272727272714,1990.0,0.0,47.0,31.7,22.2,1315.37,32.95454545454543,1990.0,0.0,46.0,32.8,22.2,1304.91,33.05454545454543,1990.0,0.0,45.0,33.3,23.9,1292.43,33.02727272727271
2,1990,0,50,29.4,19.4,1185.0200000000002,32.518181818181795,1990,0,50,29.4,19.4,1185.0200000000002,32.518181818181795,1990.0,0.0,49.0,29.4,22.2,1204.34,32.62272727272725,1990.0,0.0,48.0,31.1,20.6,1345.5,32.827272727272714,1990.0,0.0,47.0,31.7,22.2,1315.37,32.95454545454543,1990.0,0.0,46.0,32.8,22.2,1304.91,33.05454545454543
3,1990,0,51,30.6,21.1,1223.0600000000004,32.4181818181818,1990,0,51,30.6,21.1,1223.0600000000004,32.4181818181818,1990.0,0.0,50.0,29.4,19.4,1185.0200000000002,32.518181818181795,1990.0,0.0,49.0,29.4,22.2,1204.34,32.62272727272725,1990.0,0.0,48.0,31.1,20.6,1345.5,32.827272727272714,1990.0,0.0,47.0,31.7,22.2,1315.37,32.95454545454543
4,1990,0,52,28.9,21.1,1200.7900000000004,32.29090909090907,1990,0,52,28.9,21.1,1200.7900000000004,32.29090909090907,1990.0,0.0,51.0,30.6,21.1,1223.0600000000004,32.4181818181818,1990.0,0.0,50.0,29.4,19.4,1185.0200000000002,32.518181818181795,1990.0,0.0,49.0,29.4,22.2,1204.34,32.62272727272725,1990.0,0.0,48.0,31.1,20.6,1345.5,32.827272727272714
5,1991,0,1,29.4,18.9,1141.62,32.06363636363634,1991,0,1,29.4,18.9,1141.62,32.06363636363634,1990.0,0.0,52.0,28.9,21.1,1200.7900000000004,32.29090909090907,1990.0,0.0,51.0,30.6,21.1,1223.0600000000004,32.4181818181818,1990.0,0.0,50.0,29.4,19.4,1185.0200000000002,32.518181818181795,1990.0,0.0,49.0,29.4,22.2,1204.34,32.62272727272725
6,1991,0,2,28.3,21.1,1140.99,31.83636363636361,1991,0,2,28.3,21.1,1140.99,31.83636363636361,1991.0,0.0,1.0,29.4,18.9,1141.62,32.06363636363634,1990.0,0.0,52.0,28.9,21.1,1200.7900000000004,32.29090909090907,1990.0,0.0,51.0,30.6,21.1,1223.0600000000004,32.4181818181818,1990.0,0.0,50.0,29.4,19.4,1185.0200000000002,32.518181818181795
7,1991,0,3,29.4,21.1,1108.33,31.681818181818162,1991,0,3,29.4,21.1,1108.33,31.681818181818162,1991.0,0.0,2.0,28.3,21.1,1140.99,31.83636363636361,1991.0,0.0,1.0,29.4,18.9,1141.62,32.06363636363634,1990.0,0.0,52.0,28.9,21.1,1200.7900000000004,32.29090909090907,1990.0,0.0,51.0,30.6,21.1,1223.0600000000004,32.4181818181818
8,1991,0,4,29.4,18.3,1079.53,31.50454545454544,1991,0,4,29.4,18.3,1079.53,31.50454545454544,1991.0,0.0,3.0,29.4,21.1,1108.33,31.681818181818162,1991.0,0.0,2.0,28.3,21.1,1140.99,31.83636363636361,1991.0,0.0,1.0,29.4,18.9,1141.62,32.06363636363634,1990.0,0.0,52.0,28.9,21.1,1200.7900000000004,32.29090909090907
9,1991,0,5,30.0,18.9,988.78,31.40454545454543,1991,0,5,30.0,18.9,988.78,31.40454545454543,1991.0,0.0,4.0,29.4,18.3,1079.53,31.50454545454544,1991.0,0.0,3.0,29.4,21.1,1108.33,31.681818181818162,1991.0,0.0,2.0,28.3,21.1,1140.99,31.83636363636361,1991.0,0.0,1.0,29.4,18.9,1141.62,32.06363636363634
10,1991,0,6,30.0,20.6,956.38,31.277272727272702,1991,0,6,30.0,20.6,956.38,31.277272727272702,1991.0,0.0,5.0,30.0,18.9,988.78,31.40454545454543,1991.0,0.0,4.0,29.4,18.3,1079.53,31.50454545454544,1991.0,0.0,3.0,29.4,21.1,1108.33,31.681818181818162,1991.0,0.0,2.0,28.3,21.1,1140.99,31.83636363636361
11,1991,0,7,32.2,18.9,933.49,31.199999999999985,1991,0,7,32.2,18.9,933.49,31.199999999999985,1991.0,0.0,6.0,30.0,20.6,956.38,31.277272727272702,1991.0,0.0,5.0,30.0,18.9,988.78,31.40454545454543,1991.0,0.0,4.0,29.4,18.3,1079.53,31.50454545454544,1991.0,0.0,3.0,29.4,21.1,1108.33,31.681818181818162
12,1991,0,8,32.2,20.0,904.63,31.17272727272726,1991,0,8,32.2,20.0,904.63,31.17272727272726,1991.0,0.0,7.0,32.2,18.9,933.49,31.199999999999985,1991.0,0.0,6.0,30.0,20.6,956.38,31.277272727272702,1991.0,0.0,5.0,30.0,18.9,988.78,31.40454545454543,1991.0,0.0,4.0,29.4,18.3,1079.53,31.50454545454544
13,1991,0,9,30.6,20.0,871.8599999999999,31.072727272727267,1991,0,9,30.6,20.0,871.8599999999999,31.072727272727267,1991.0,0.0,8.0,32.2,20.0,904.63,31.17272727272726,1991.0,0.0,7.0,32.2,18.9,933.49,31.199999999999985,1991.0,0.0,6.0,30.0,20.6,956.38,31.277272727272702,1991.0,0.0,5.0,30.0,18.9,988.78,31.40454545454543
14,1991,0,10,31.1,20.6,728.1299999999999,30.972727272727266,1991,0,10,31.1,20.6,728.1299999999999,30.972727272727266,1991.0,0.0,9.0,30.6,20.0,871.8599999999999,31.072727272727267,1991.0,0.0,8.0,32.2,20.0,904.63,31.17272727272726,1991.0,0.0,7.0,32.2,18.9,933.49,31.199999999999985,1991.0,0.0,6.0,30.0,20.6,956.38,31.277272727272702
15,1991,0,11,31.7,20.6,676.7399999999999,30.9,1991,0,11,31.7,20.6,676.7399999999999,30.9,1991.0,0.0,10.0,31.1,20.6,728.1299999999999,30.972727272727266,1991.0,0.0,9.0,30.6,20.0,871.8599999999999,31.072727272727267,1991.0,0.0,8.0,32.2,20.0,904.63,31.17272727272726,1991.0,0.0,7.0,32.2,18.9,933.49,31.199999999999985
16,1991,0,12,32.2,21.1,645.56,30.872727272727275,1991,0,12,32.2,21.1,645.56,30.872727272727275,1991.0,0.0,11.0,31.7,20.6,676.7399999999999,30.9,1991.0,0.0,10.0,31.1,20.6,728.1299999999999,30.972727272727266,1991.0,0.0,9.0,30.6,20.0,871.8599999999999,31.072727272727267,1991.0,0.0,8.0,32.2,20.0,904.63,31.17272727272726
17,1991,0,13,32.2,22.2,594.14,30.872727272727275,1991,0,13,32.2,22.2,594.14,30.872727272727275,1991.0,0.0,12.0,32.2,21.1,645.56,30.872727272727275,1991.0,0.0,11.0,31.7,20.6,676.7399999999999,30.9,1991.0,0.0,10.0,31.1,20.6,728.1299999999999,30.972727272727266,1991.0,0.0,9.0,30.6,20.0,871.8599999999999,31.072727272727267
18,1991,0,14,28.9,20.6,463.50999999999993,30.67272727272728,1991,0,14,28.9,20.6,463.50999999999993,30.67272727272728,1991.0,0.0,13.0,32.2,22.2,594.14,30.872727272727275,1991.0,0.0,12.0,32.2,21.1,645.56,30.872727272727275,1991.0,0.0,11.0,31.7,20.6,676.7399999999999,30.9,1991.0,0.0,10.0,31.1,20.6,728.1299999999999,30.972727272727266
19,1991,0,15,28.9,21.1,342.4799999999999,30.47272727272728,1991,0,15,28.9,21.1,342.4799999999999,30.47272727272728,1991.0,0.0,14.0,28.9,20.6,463.50999999999993,30.67272727272728,1991.0,0.0,13.0,32.2,22.2,594.14,30.872727272727275,1991.0,0.0,12.0,32.2,21.1,645.56,30.872727272727275,1991.0,0.0,11.0,31.7,20.6,676.7399999999999,30.9
20,1991,0,16,29.4,21.1,285.69999999999993,30.318181818181824,1991,0,16,29.4,21.1,285.69999999999993,30.318181818181824,1991.0,0.0,15.0,28.9,21.1,342.4799999999999,30.47272727272728,1991.0,0.0,14.0,28.9,20.6,463.50999999999993,30.67272727272728,1991.0,0.0,13.0,32.2,22.2,594.14,30.872727272727275,1991.0,0.0,12.0,32.2,21.1,645.56,30.872727272727275
21,1991,0,17,32.8,21.7,297.96,30.36818181818182,1991,0,17,32.8,21.7,297.96,30.36818181818182,1991.0,0.0,16.0,29.4,21.1,285.69999999999993,30.318181818181824,1991.0,0.0,15.0,28.9,21.1,342.4799999999999,30.47272727272728,1991.0,0.0,14.0,28.9,20.6,463.50999999999993,30.67272727272728,1991.0,0.0,13.0,32.2,22.2,594.14,30.872727272727275
22,1991,1,18,32.2,22.8,277.96,30.41818181818182,1991,1,18,32.2,22.8,277.96,30.41818181818182,1991.0,0.0,17.0,32.8,21.7,297.96,30.36818181818182,1991.0,0.0,16.0,29.4,21.1,285.69999999999993,30.318181818181824,1991.0,0.0,15.0,28.9,21.1,342.4799999999999,30.47272727272728,1991.0,0.0,14.0,28.9,20.6,463.50999999999993,30.67272727272728
23,1991,1,19,31.7,22.8,293.2999999999999,30.52272727272728,1991,1,19,31.7,22.8,293.2999999999999,30.52272727272728,1991.0,1.0,18.0,32.2,22.8,277.96,30.41818181818182,1991.0,0.0,17.0,32.8,21.7,297.96,30.36818181818182,1991.0,0.0,16.0,29.4,21.1,285.69999999999993,30.318181818181824,1991.0,0.0,15.0,28.9,21.1,342.4799999999999,30.47272727272728
24,1991,1,20,30.6,22.8,263.85,30.57727272727273,1991,1,20,30.6,22.8,263.85,30.57727272727273,1991.0,1.0,19.0,31.7,22.8,293.2999999999999,30.52272727272728,1991.0,1.0,18.0,32.2,22.8,277.96,30.41818181818182,1991.0,0.0,17.0,32.8,21.7,297.96,30.36818181818182,1991.0,0.0,16.0,29.4,21.1,285.69999999999993,30.318181818181824
25,1991,1,21,31.7,22.8,305.05,30.627272727272736,1991,1,21,31.7,22.8,305.05,30.627272727272736,1991.0,1.0,20.0,30.6,22.8,263.85,30.57727272727273,1991.0,1.0,19.0,31.7,22.8,293.2999999999999,30.52272727272728,1991.0,1.0,18.0,32.2,22.8,277.96,30.41818181818182,1991.0,0.0,17.0,32.8,21.7,297.96,30.36818181818182
26,1991,1,22,33.3,23.3,360.42,30.82727272727273,1991,1,22,33.3,23.3,360.42,30.82727272727273,1991.0,1.0,21.0,31.7,22.8,305.05,30.627272727272736,1991.0,1.0,20.0,30.6,22.8,263.85,30.57727272727273,1991.0,1.0,19.0,31.7,22.8,293.2999999999999,30.52272727272728,1991.0,1.0,18.0,32.2,22.8,277.96,30.41818181818182
27,1991,1,23,33.3,23.3,316.05,31.00454545454546,1991,1,23,33.3,23.3,316.05,31.00454545454546,1991.0,1.0,22.0,33.3,23.3,360.42,30.82727272727273,1991.0,1.0,21.0,31.7,22.8,305.05,30.627272727272736,1991.0,1.0,20.0,30.6,22.8,263.85,30.57727272727273,1991.0,1.0,19.0,31.7,22.8,293.2999999999999,30.52272727272728
28,1991,1,24,33.9,23.9,322.14,31.259090909090915,1991,1,24,33.9,23.9,322.14,31.259090909090915,1991.0,1.0,23.0,33.3,23.3,316.05,31.00454545454546,1991.0,1.0,22.0,33.3,23.3,360.42,30.82727272727273,1991.0,1.0,21.0,31.7,22.8,305.05,30.627272727272736,1991.0,1.0,20.0,30.6,22.8,263.85,30.57727272727273
29,1991,1,25,33.9,25.0,366.39,31.46363636363637,1991,1,25,33.9,25.0,366.39,31.46363636363637,1991.0,1.0,24.0,33.9,23.9,322.14,31.259090909090915,1991.0,1.0,23.0,33.3,23.3,316.05,31.00454545454546,1991.0,1.0,22.0,33.3,23.3,360.42,30.82727272727273,1991.0,1.0,21.0,31.7,22.8,305.05,30.627272727272736
30,1991,1,26,32.8,22.8,424.3,31.618181818181824,1991,1,26,32.8,22.8,424.3,31.618181818181824,1991.0,1.0,25.0,33.9,25.0,366.39,31.46363636363637,1991.0,1.0,24.0,33.9,23.9,322.14,31.259090909090915,1991.0,1.0,23.0,33.3,23.3,316.05,31.00454545454546,1991.0,1.0,22.0,33.3,23.3,360.42,30.82727272727273
31,1991,1,27,32.8,23.9,451.0,31.74545454545455,1991,1,27,32.8,23.9,451.0,31.74545454545455,1991.0,1.0,26.0,32.8,22.8,424.3,31.618181818181824,1991.0,1.0,25.0,33.9,25.0,366.39,31.46363636363637,1991.0,1.0,24.0,33.9,23.9,322.14,31.259090909090915,1991.0,1.0,23.0,33.3,23.3,316.05,31.00454545454546
32,1991,1,28,32.8,24.4,457.13,31.872727272727275,1991,1,28,32.8,24.4,457.13,31.872727272727275,1991.0,1.0,27.0,32.8,23.9,451.0,31.74545454545455,1991.0,1.0,26.0,32.8,22.8,424.3,31.618181818181824,1991.0,1.0,25.0,33.9,25.0,366.39,31.46363636363637,1991.0,1.0,24.0,33.9,23.9,322.14,31.259090909090915
33,1991,1,29,33.9,23.9,486.8,31.95,1991,1,29,33.9,23.9,486.8,31.95,1991.0,1.0,28.0,32.8,24.4,457.13,31.872727272727275,1991.0,1.0,27.0,32.8,23.9,451.0,31.74545454545455,1991.0,1.0,26.0,32.8,22.8,424.3,31.618181818181824,1991.0,1.0,25.0,33.9,25.0,366.39,31.46363636363637
34,1991,1,30,32.8,24.4,543.38,31.977272727272727,1991,1,30,32.8,24.4,543.38,31.977272727272727,1991.0,1.0,29.0,33.9,23.9,486.8,31.95,1991.0,1.0,28.0,32.8,24.4,457.13,31.872727272727275,1991.0,1.0,27.0,32.8,23.9,451.0,31.74545454545455,1991.0,1.0,26.0,32.8,22.8,424.3,31.618181818181824
35,1991,1,31,33.3,25.0,573.74,32.099999999999994,1991,1,31,33.3,25.0,573.74,32.099999999999994,1991.0,1.0,30.0,32.8,24.4,543.38,31.977272727272727,1991.0,1.0,29.0,33.9,23.9,486.8,31.95,1991.0,1.0,28.0,32.8,24.4,457.13,31.872727272727275,1991.0,1.0,27.0,32.8,23.9,451.0,31.74545454545455
36,1991,1,32,32.8,24.4,587.03,32.177272727272715,1991,1,32,32.8,24.4,587.03,32.177272727272715,1991.0,1.0,31.0,33.3,25.0,573.74,32.099999999999994,1991.0,1.0,30.0,32.8,24.4,543.38,31.977272727272727,1991.0,1.0,29.0,33.9,23.9,486.8,31.95,1991.0,1.0,28.0,32.8,24.4,457.13,31.872727272727275
37,1991,1,33,33.3,25.6,555.24,32.249999999999986,1991,1,33,33.3,25.6,555.24,32.249999999999986,1991.0,1.0,32.0,32.8,24.4,587.03,32.177272727272715,1991.0,1.0,31.0,33.3,25.0,573.74,32.099999999999994,1991.0,1.0,30.0,32.8,24.4,543.38,31.977272727272727,1991.0,1.0,29.0,33.9,23.9,486.8,31.95
38,1991,1,34,34.4,24.4,607.12,32.34999999999998,1991,1,34,34.4,24.4,607.12,32.34999999999998,1991.0,1.0,33.0,33.3,25.6,555.24,32.249999999999986,1991.0,1.0,32.0,32.8,24.4,587.03,32.177272727272715,1991.0,1.0,31.0,33.3,25.0,573.74,32.099999999999994,1991.0,1.0,30.0,32.8,24.4,543.38,31.977272727272727
39,1991,1,35,32.2,23.9,662.32,32.34999999999998,1991,1,35,32.2,23.9,662.32,32.34999999999998,1991.0,1.0,34.0,34.4,24.4,607.12,32.34999999999998,1991.0,1.0,33.0,33.3,25.6,555.24,32.249999999999986,1991.0,1.0,32.0,32.8,24.4,587.03,32.177272727272715,1991.0,1.0,31.0,33.3,25.0,573.74,32.099999999999994
