city,year,weekofyear,total_cases
sj,2008,18,2
sj,2008,19,1
sj,2008,20,0
sj,2008,21,1
sj,2008,22,0
sj,2008,23,0
sj,2008,24,0
sj,2008,25,0
sj,2008,26,1
sj,2008,27,1
sj,2008,28,1
sj,2008,29,2
sj,2008,30,2
sj,2008,31,1
sj,2008,32,1
sj,2008,33,2
sj,2008,34,1
sj,2008,35,15
sj,2008,36,7
sj,2008,37,1
sj,2008,38,1
sj,2008,39,0
sj,2008,40,1
sj,2008,41,2
sj,2008,42,2
sj,2008,43,1
sj,2008,44,2
sj,2008,45,6
sj,2008,46,26
sj,2008,47,28
sj,2008,48,13
sj,2008,49,5
sj,2008,50,16
sj,2008,51,4
sj,2008,52,5
sj,2009,1,3
sj,2009,2,3
sj,2009,3,6
sj,2009,4,5
sj,2009,5,5
sj,2009,6,3
sj,2009,7,4
sj,2009,8,3
sj,2009,9,1
sj,2009,10,1
sj,2009,11,2
sj,2009,12,3
sj,2009,13,2
sj,2009,14,2
sj,2009,15,3
sj,2009,16,3
sj,2009,17,3
sj,2009,18,3
sj,2009,19,3
sj,2009,20,3
sj,2009,21,3
sj,2009,22,3
sj,2009,23,4
sj,2009,24,7
sj,2009,25,11
sj,2009,26,14
sj,2009,27,22
sj,2009,28,26
sj,2009,29,28
sj,2009,30,20
sj,2009,31,24
sj,2009,32,27
sj,2009,33,32
sj,2009,34,40
sj,2009,35,73
sj,2009,36,77
sj,2009,37,91
sj,2009,38,161
sj,2009,39,267
sj,2009,40,274
sj,2009,41,256
sj,2009,42,216
sj,2009,43,220
sj,2009,44,222
sj,2009,45,180
sj,2009,46,111
sj,2009,47,99
sj,2009,48,94
sj,2009,49,75
sj,2009,50,40
sj,2009,51,37
sj,2009,52,34
sj,2010,53,33
sj,2010,1,31
sj,2010,2,28
sj,2010,3,23
sj,2010,4,17
sj,2010,5,9
sj,2010,6,7
sj,2010,7,5
sj,2010,8,6
sj,2010,9,6
sj,2010,10,7
sj,2010,11,7
sj,2010,12,9
sj,2010,13,9
sj,2010,14,14
sj,2010,15,7
sj,2010,16,5
sj,2010,17,9
sj,2010,18,16
sj,2010,19,13
sj,2010,20,16
sj,2010,21,15
sj,2010,22,17
sj,2010,23,31
sj,2010,24,19
sj,2010,25,20
sj,2010,26,27
sj,2010,27,32
sj,2010,28,30
sj,2010,29,32
sj,2010,30,32
sj,2010,31,28
sj,2010,32,34
sj,2010,33,37
sj,2010,34,42
sj,2010,35,52
sj,2010,36,104
sj,2010,37,125
sj,2010,38,156
sj,2010,39,158
sj,2010,40,138
sj,2010,41,136
sj,2010,42,150
sj,2010,43,143
sj,2010,44,129
sj,2010,45,126
sj,2010,46,71
sj,2010,47,58
sj,2010,48,49
sj,2010,49,43
sj,2010,50,22
sj,2010,51,19
sj,2011,52,17
sj,2011,1,14
sj,2011,2,14
sj,2011,3,11
sj,2011,4,10
sj,2011,5,9
sj,2011,6,6
sj,2011,7,6
sj,2011,8,4
sj,2011,9,4
sj,2011,10,3
sj,2011,11,3
sj,2011,12,2
sj,2011,13,2
sj,2011,14,2
sj,2011,15,2
sj,2011,16,1
sj,2011,17,1
sj,2011,18,1
sj,2011,19,1
sj,2011,20,1
sj,2011,21,1
sj,2011,22,1
sj,2011,23,3
sj,2011,24,6
sj,2011,25,9
sj,2011,26,8
sj,2011,27,7
sj,2011,28,6
sj,2011,29,3
sj,2011,30,6
sj,2011,31,6
sj,2011,32,9
sj,2011,33,13
sj,2011,34,12
sj,2011,35,18
sj,2011,36,22
sj,2011,37,119
sj,2011,38,97
sj,2011,39,113
sj,2011,40,84
sj,2011,41,107
sj,2011,42,111
sj,2011,43,123
sj,2011,44,69
sj,2011,45,69
sj,2011,46,57
sj,2011,47,52
sj,2011,48,25
sj,2011,49,20
sj,2011,50,40
sj,2011,51,18
sj,2012,52,17
sj,2012,1,17
sj,2012,2,15
sj,2012,3,14
sj,2012,4,19
sj,2012,5,9
sj,2012,6,6
sj,2012,7,5
sj,2012,8,5
sj,2012,9,4
sj,2012,10,3
sj,2012,11,2
sj,2012,12,2
sj,2012,13,2
sj,2012,14,1
sj,2012,15,1
sj,2012,16,1
sj,2012,17,1
sj,2012,18,1
sj,2012,19,1
sj,2012,20,1
sj,2012,21,1
sj,2012,22,1
sj,2012,23,2
sj,2012,24,3
sj,2012,25,6
sj,2012,26,6
sj,2012,27,9
sj,2012,28,11
sj,2012,29,11
sj,2012,30,9
sj,2012,31,7
sj,2012,32,6
sj,2012,33,6
sj,2012,34,8
sj,2012,35,16
sj,2012,36,17
sj,2012,37,34
sj,2012,38,35
sj,2012,39,58
sj,2012,40,55
sj,2012,41,62
sj,2012,42,74
sj,2012,43,68
sj,2012,44,69
sj,2012,45,65
sj,2012,46,66
sj,2012,47,62
sj,2012,48,54
sj,2012,49,39
sj,2012,50,37
sj,2012,51,31
sj,2013,1,26
sj,2013,2,22
sj,2013,3,23
sj,2013,4,20
sj,2013,5,10
sj,2013,6,13
sj,2013,7,19
