year,yearcount,weekofyear,station_max_temp_c,station_min_temp_c,cum_rain_prior_24_wks,avg_max_temp_prior_22_wks,cum_rain_prior_24_wks_shift_0,cum_rain_prior_24_wks_shift_1,cum_rain_prior_24_wks_shift_2,cum_rain_prior_24_wks_shift_3,cum_rain_prior_24_wks_shift_4,cum_rain_prior_24_wks_shift_5,cum_rain_prior_24_wks_shift_6,cum_rain_prior_24_wks_shift_7,cum_rain_prior_24_wks_shift_8,cum_rain_prior_24_wks_shift_9,cum_rain_prior_24_wks_shift_10,cum_rain_prior_24_wks_shift_11,cum_rain_prior_24_wks_shift_12,cum_rain_prior_24_wks_shift_13,cum_rain_prior_24_wks_shift_14,cum_rain_prior_24_wks_shift_15,cum_rain_prior_24_wks_shift_16,cum_rain_prior_24_wks_shift_17,cum_rain_prior_24_wks_shift_18,cum_rain_prior_24_wks_shift_19,cum_rain_prior_24_wks_shift_20,cum_rain_prior_24_wks_shift_21,cum_rain_prior_24_wks_shift_22,cum_rain_prior_24_wks_shift_23,cum_rain_prior_24_wks_shift_24,cum_rain_prior_24_wks_shift_25,cum_rain_prior_24_wks_shift_26,cum_rain_prior_24_wks_shift_27,cum_rain_prior_24_wks_shift_28,cum_rain_prior_24_wks_shift_29,cum_rain_prior_24_wks_shift_30,cum_rain_prior_24_wks_shift_31,cum_rain_prior_24_wks_shift_32,cum_rain_prior_24_wks_shift_33,cum_rain_prior_24_wks_shift_34,cum_rain_prior_24_wks_shift_35,cum_rain_prior_24_wks_shift_36,cum_rain_prior_24_wks_shift_37,cum_rain_prior_24_wks_shift_38,cum_rain_prior_24_wks_shift_39,cum_rain_prior_24_wks_shift_40,cum_rain_prior_24_wks_shift_41,cum_rain_prior_24_wks_shift_42,cum_rain_prior_24_wks_shift_43,cum_rain_prior_24_wks_shift_44,cum_rain_prior_24_wks_shift_45
1991,1,41,31.7,22.8,832.4299999999997,33.03181818181816,832.4299999999997,833.0499999999997,845.9399999999998,778.39,761.78,728.22,662.32,607.12,555.24,587.03,573.74,543.38,486.8,457.13,451.0,424.3,366.39,322.14,316.05,360.42,305.05,263.85,293.2999999999999,277.96,297.96,285.69999999999993,342.4799999999999,463.50999999999993,594.14,645.56,676.7399999999999,728.1299999999999,871.8599999999999,904.63,933.49,956.38,988.78,1079.53,1108.33,1140.99,1141.62,1200.7900000000004,1223.0600000000004,1185.0200000000002,1204.34,1345.5
1991,1,42,33.9,24.4,835.7199999999997,33.18181818181816,835.7199999999997,832.4299999999997,833.0499999999997,845.9399999999998,778.39,761.78,728.22,662.32,607.12,555.24,587.03,573.74,543.38,486.8,457.13,451.0,424.3,366.39,322.14,316.05,360.42,305.05,263.85,293.2999999999999,277.96,297.96,285.69999999999993,342.4799999999999,463.50999999999993,594.14,645.56,676.7399999999999,728.1299999999999,871.8599999999999,904.63,933.49,956.38,988.78,1079.53,1108.33,1140.99,1141.62,1200.7900000000004,1223.0600000000004,1185.0200000000002,1204.34
1991,1,43,32.8,23.3,850.5799999999997,33.23181818181815,850.5799999999997,835.7199999999997,832.4299999999997,833.0499999999997,845.9399999999998,778.39,761.78,728.22,662.32,607.12,555.24,587.03,573.74,543.38,486.8,457.13,451.0,424.3,366.39,322.14,316.05,360.42,305.05,263.85,293.2999999999999,277.96,297.96,285.69999999999993,342.4799999999999,463.50999999999993,594.14,645.56,676.7399999999999,728.1299999999999,871.8599999999999,904.63,933.49,956.38,988.78,1079.53,1108.33,1140.99,1141.62,1200.7900000000004,1223.0600000000004,1185.0200000000002
1991,1,44,32.8,24.4,919.03,33.209090909090875,919.03,850.5799999999997,835.7199999999997,832.4299999999997,833.0499999999997,845.9399999999998,778.39,761.78,728.22,662.32,607.12,555.24,587.03,573.74,543.38,486.8,457.13,451.0,424.3,366.39,322.14,316.05,360.42,305.05,263.85,293.2999999999999,277.96,297.96,285.69999999999993,342.4799999999999,463.50999999999993,594.14,645.56,676.7399999999999,728.1299999999999,871.8599999999999,904.63,933.49,956.38,988.78,1079.53,1108.33,1140.99,1141.62,1200.7900000000004,1223.0600000000004
1991,1,45,32.2,22.8,910.7899999999997,33.159090909090885,910.7899999999997,919.03,850.5799999999997,835.7199999999997,832.4299999999997,833.0499999999997,845.9399999999998,778.39,761.78,728.22,662.32,607.12,555.24,587.03,573.74,543.38,486.8,457.13,451.0,424.3,366.39,322.14,316.05,360.42,305.05,263.85,293.2999999999999,277.96,297.96,285.69999999999993,342.4799999999999,463.50999999999993,594.14,645.56,676.7399999999999,728.1299999999999,871.8599999999999,904.63,933.49,956.38,988.78,1079.53,1108.33,1140.99,1141.62,1200.7900000000004
1991,1,46,31.1,22.2,934.15,33.03181818181816,934.15,910.7899999999997,919.03,850.5799999999997,835.7199999999997,832.4299999999997,833.0499999999997,845.9399999999998,778.39,761.78,728.22,662.32,607.12,555.24,587.03,573.74,543.38,486.8,457.13,451.0,424.3,366.39,322.14,316.05,360.42,305.05,263.85,293.2999999999999,277.96,297.96,285.69999999999993,342.4799999999999,463.50999999999993,594.14,645.56,676.7399999999999,728.1299999999999,871.8599999999999,904.63,933.49,956.38,988.78,1079.53,1108.33,1140.99,1141.62
1991,1,47,30.0,22.2,926.0699999999997,32.85454545454543,926.0699999999997,934.15,910.7899999999997,919.03,850.5799999999997,835.7199999999997,832.4299999999997,833.0499999999997,845.9399999999998,778.39,761.78,728.22,662.32,607.12,555.24,587.03,573.74,543.38,486.8,457.13,451.0,424.3,366.39,322.14,316.05,360.42,305.05,263.85,293.2999999999999,277.96,297.96,285.69999999999993,342.4799999999999,463.50999999999993,594.14,645.56,676.7399999999999,728.1299999999999,871.8599999999999,904.63,933.49,956.38,988.78,1079.53,1108.33,1140.99
1991,1,48,30.0,22.2,955.3199999999997,32.7272727272727,955.3199999999997,926.0699999999997,934.15,910.7899999999997,919.03,850.5799999999997,835.7199999999997,832.4299999999997,833.0499999999997,845.9399999999998,778.39,761.78,728.22,662.32,607.12,555.24,587.03,573.74,543.38,486.8,457.13,451.0,424.3,366.39,322.14,316.05,360.42,305.05,263.85,293.2999999999999,277.96,297.96,285.69999999999993,342.4799999999999,463.50999999999993,594.14,645.56,676.7399999999999,728.1299999999999,871.8599999999999,904.63,933.49,956.38,988.78,1079.53,1108.33
1991,1,49,30.6,23.3,911.0699999999997,32.62727272727271,911.0699999999997,955.3199999999997,926.0699999999997,934.15,910.7899999999997,919.03,850.5799999999997,835.7199999999997,832.4299999999997,833.0499999999997,845.9399999999998,778.39,761.78,728.22,662.32,607.12,555.24,587.03,573.74,543.38,486.8,457.13,451.0,424.3,366.39,322.14,316.05,360.42,305.05,263.85,293.2999999999999,277.96,297.96,285.69999999999993,342.4799999999999,463.50999999999993,594.14,645.56,676.7399999999999,728.1299999999999,871.8599999999999,904.63,933.49,956.38,988.78,1079.53
1991,1,50,29.4,21.7,837.3099999999997,32.47272727272725,837.3099999999997,911.0699999999997,955.3199999999997,926.0699999999997,934.15,910.7899999999997,919.03,850.5799999999997,835.7199999999997,832.4299999999997,833.0499999999997,845.9399999999998,778.39,761.78,728.22,662.32,607.12,555.24,587.03,573.74,543.38,486.8,457.13,451.0,424.3,366.39,322.14,316.05,360.42,305.05,263.85,293.2999999999999,277.96,297.96,285.69999999999993,342.4799999999999,463.50999999999993,594.14,645.56,676.7399999999999,728.1299999999999,871.8599999999999,904.63,933.49,956.38,988.78
